Course Title,Labels,Details
Counter-Strike: Global Offensive — Play Like a Pro,"['Lifestyle,Gaming,eSports']","['Set up a configuration that works for YOU,Master the mechanics of movement and gun control,Identify the best communication styles for effective team play,Excel at early round planning for both CT/T Side,Master rotations and mid-round play,Master late game and clutching concepts,Explore ways to create your own game strategies,Reflect on your own play in order to practice and develop your skills,Cultivate a process-oriented attitude to foster consistent improvement,Take responsibility for your own success in-game!']"
How to Be Psychic - Psychic Development for Beginners,"['Lifestyle,Esoteric Practices,Psychic']","['Contact Your Spirit Guides for Advice and Learn To Contact Spirit Guides and Angels To do Psychic Readings on Others,How to Read Oracle Cards for General, Love and Career,The Most Powerful Tools to easily Boost your Psychic Readings,Protect Yourself from being psychically attack from negative people who drain you,Discover the Best Angels, Gods, Goddess and Ascended Masters to call in to help you overcome a challenge,Heal your chakras so you have more energy and can think more clearly,You will learn to recognize the hidden ulterior motives of others so you can make the decisions that are best for your future,You will be able to clear any blockages to contacting higher beings,You will be able to attract more clients to your business']"
NLP Practitioner & NLP Master Practitioner Cert (ACCREDITED),"['Lifestyle,Other Lifestyle,Neuro-Linguistic Programming']","[""Become a Fully Accredited NLP Practitioner & Master Practitioner,Discover the powerful guides, strategies, tools and techniques that NLP has to help yourself and others,Get Fully Accredited by The Priority Academy & The Complementary Therapists Accredited Association (CTAA),When you've completed the course you can claim you personalised Certificate of Accreditation from The Priority Academy,Understand NLP from Beginners Level all the way through to Expert Level,PLUS: A Full Downloadable audio version of the course is also available to aid in learning.""]"
Complete Hypnotherapy & Hypnosis Certification Diploma,"['Lifestyle,Esoteric Practices,Hypnotherapy']","['Confidently & effectively be able to take people into Hypnosis & help them to heal what they are holding onto!,Understand the difference between Hypnosis & Hypnotherapy and have a passion for the very real and powerful tool that this is!,Use different techniques to enable your clients to overcome many issues. Whatever the issue is, Hypnotherapy can help!,Stop Smoking, Lose Weight, Overcome Fears & Phobias, Deal with Stress, Confidence issues, Self Esteem, Use the Gastric Band Hypnosis and much much more!,Have a thorough understanding of the Conscious & Subconscious Mind,Confidently use Suggestion Therapy effectively,Learn the power of Suggestibility tests and use them!,Be a Qualified Hypnotherapist!']"
"Dog CPR, First Aid + Safety for pet pros + dedicated owners","['Lifestyle,Pet Care & Training,Dog Care']","['Detailed video demonstrations for new guidelines in pet CPR, Canine Heimlich, how to read vital signs and more, using real (adorable!) dogs + training manikins,Bonus dog & puppy proofing e-book, toxic plants, foods + first aid kit handouts, links for top dog safety apps & products,Special tips for dog sitters, walkers and other pet care providers,Each lesson is veterinarian-endorsed and will teach you the same essential skills included in my hands-on certification workshop']"
Watercolor Painting For Beginners | By Award Winning Artist,"['Lifestyle,Arts & Crafts,Watercolor Painting']","['Learn the essentials first before the basics,Understand how watercolor behaves,How much water to use,How to go lighter with your colors,How to go darker with your colors,Master basic techniques,How to avoid washed out paintings,How to avoid patchy, overworked paintings,Paint new activities (No repetitive drills),Paint Sea and Land Animals (No fruit, vegetables or salads),How to prepare your puddles,How to do a wash (The right way),How to blend your washes using 1 color,How to blend your washes using 2 colors,How to make smooth, gradual blends,How to paint in details and features,How to layer or glaze to make your paintings glow,How to paint shadows without getting muddy,How to paint elements like leaves, trees, wood, grass,How to handle your brush to paint simple textures,How to ""paint without painting"",How to use masking techniques,How to paint backgrounds (What to paint first, next and last),How to mix colors,How to mix even more colors using only 3 pigments,The biggest take away about Color Theory,Tips and best practices to avoid common mistakes,Show less']"
Professional Accredited Angelic Healing Practitioner Course,"['Lifestyle,Esoteric Practices,Spiritual Healing']","['We will show you how you can create your own Angel Healing Therapy business, good practices, marketing, advertising, ethics insurance, .,You will learn about the angels themselves as well as how to connect with them,The ways in which Angel Healing Therapy works,How to start a business in this area as an Angel Healing Therapist,You will learn why the Angelic Realms want to connect with us at this time,Students will learn about the history of angels, as well as the different types of angels, and their hierarchy,The types of angels you can all upon and what they are responsible for,How to connect with your guardian angel,You will learn to recognise angel signs,Looking in more detail at the 4 watchtower archangels, and what their roles and responsibilities are and how angels may go about helping you,You will go through a step by step process, of how to run an Angelic Healing with case studies and video support materials,You will learn about angels and their favourite crystals,Show less']"
How To Make Soap - Homemade Soap Making for Beginners,"['Lifestyle,Arts & Crafts,Soapmaking']","['Create home made natural soap from scratch, using natural ingredients, which you probably have in your pantry,Make pure and natural soap, free from harmful ingredients, avoiding known irritants,Easily calculate how much soap you need to make to fill your mold, and create your own recipes,Use colours and fragrances to create fabulous looking, amazing smelling soap, that is good enough to give as gifts, or sell,Use inexpensive items to create amazing packaging for your soap.,Build and develop a new creative hobby.']"
Spiritual Shamanic Healing Initiation Into The Munay Ki,"['Lifestyle,Esoteric Practices,Spirituality']","[""Become skilled in the 9 Rites of the Munay Ki becoming a wisdom keeper with knowledge to pass on to bring positive change for inner spiritual development,Healer's in any modality (eg. massage therapist, Reiki practitioner, etc) will quickly apply and integrate the rituals in your life and work, healing to others.,How to approach your health differently discovering new ways to take care of your emotional, spiritual, mental and physical life,How to develop your ability using these Shamanic Rites to overcome unwanted emotions, limiting thought patterns and unhelpful attitudes or habits,The health benefits of a shamanic way of living and healing: You will be working toward rebuilding your spiritual, physical, emotional, and mental health.,How to advance your skills to perform ceremony based on genuine spiritual shamanic practices for yourself and or your community,Discover a toolbox of global shamanic traditions to assist your life plus conduct meaningful fire ceremonies for yourself and others,How to take control of your life and begin living with more purpose and intentionality and spirituality, rather than reacting to circumstances.,You will be able to think clearer, sleep better, feel better, and feel fewer negative emotions.""]"
Meditation Practitioner / Teacher Certification (ACCREDITED),"['Lifestyle,Other Lifestyle,Meditation']","['Do you want to become an Accredited Meditation Practitioner / Teacher?,Would you like to discover how to lead both individual and group meditation sessions,Understand the benefits of meditation and how to apply them to yourself and your clients,PLUS: Get 10 Meditation background audio files so you can create your own meditation program,PLUS: There is a fully downloadable audio version of this meditation course so you can learn on the go']"
The Colored Pencil Drawing Course,"['Lifestyle,Arts & Crafts,Colored Pencil Drawing']","['Learn how to become a pro with colored pencils,Mix colors and understand color theory,Be familiar with common colored pencil surfaces and colored pencil types,Apply various colored pencil techniques to produce a variety of effects,Draw accurate portraits with colored pencils,Draw landscapes with colored pencils,Transfer drawings,Mix watercolor applications with colored pencils,Apply watercolor pencils effectively,Create accurate textures with colored pencils,Create aesthetic compositions,Create representational reflections and transparency with colored pencils,Show less']"
The Secrets to Drawing,"['Lifestyle,Arts & Crafts,Drawing']","['By the end of this course, the student will have a strong understanding of the core concepts of drawing including materials, processes, and devices.']"
The Art & Science of Figure Drawing: GESTURE,"['Lifestyle,Arts & Crafts,Figure Drawing']","['How to draw dynamic figures that come to life on the page.,How to capture the action of any pose.,How to assemble the parts of the figure into a dynamic whole.,How to draw the various parts of the figure including the hands, feet, head and neck.']"
#1 Sourdough Bread Baking 101,"['Lifestyle,Food & Beverage,Sourdough Bread Baking']","[""Bake a loaf of real sourdough bread and amaze your family and friends.,Know what an autolyse is and why it is used in bread baking.,How to mix and fold dough a gentle method of developing gluten which does not entail kneading.,Have an easy method of baking with steam in your own home oven.,Know how to shape a boule (round loaf) and a batard (long oval loaf).,How to handle sticky, wet dough.,Why a long cool ferment is beneficial as a baking technique.,See how to clean, store and use a banneton.,What to use if you don't have a banneton and what a banneton is used for.,How to make your own sourdough starter, step by step.,What hydration means in baking terms.,You will see how to bake, slice and eat a freshly baked slice of bread ( you will need help with this skill) ;),Understand baker's lingo, learn some bread history, understand how to measure ingredients.,Show less""]"
Crystal Healing Practitioner Course - Professional Training,"['Lifestyle,Esoteric Practices,Crystal Energy']","['Learn everything you need to know to become a Crystal Healing Practitioner and offer paid for healings,Understand the history of healing with crystals and why it is relevant now,Learn how crystal healing actually works,Learn about the different crystal shapes and how they can be used,Meet the crystal fairies,Study crystal technology in Atlantis and find out all about the Master Crystals,Learn 9 different crystal healings in a step by step approach that you can use on clients,Learn all the business aspects of running a practise as a Crystal Healing Practitioner']"
"Procreate: Draw, Sketch, Paint, and Design on Your iPad","['Lifestyle,Arts & Crafts,Procreate Digital Illustration App']","['You will be confident using Procreate,Learn all of the tools and brushes available,Save and export your Procreate drawings,Import and create your own brushes,Improve your artwork with shading and advanced tools,Create video timelapses of your drawings']"
The Art of Energy Healing,"['Lifestyle,Esoteric Practices,Energy Healing']","['Channel Higher Vibrational Energy Through the Hands,Overcome Inner Voices of Doubt and Have Rock Solid Confidence in Your Healing Abilities,Understand how to Guide a Client into a Deep and Relaxed State - and Facilitate Transformation,Deliver Massive Value to Friends, Family, and Clients through Subtle Energy Work,Approach Healing with more Creativity and Intelligence than Reiki,Know How to Clear Attached Entities (Parasites),Through Healing Others, You Will Raise Your own Vibration and UNDERSTAND Yourself Deeper']"
STRESS buster. Watercolor painting to relax. Get the basics,"['Lifestyle,Arts & Crafts,Watercolor Painting']","['Learn how watercolor paints work with the water, then you will get the best from them.,A colour wash is the most used technique, learn how from the start.,Students will l learn to layer washes to make objects appear three dimensional.,Learn how to create highlights and shadows in watercolor paints.,Through repetition the student will gain confidence with this medium.,Start at the very beginning and understand the basics of color mixing.']"
Essential Cooking Skills,"['Lifestyle,Food & Beverage,Cooking']","['Master basic cooking techniques which can then be used to create an endless variety of dishes.,Understand the HOW of cooking, before thinking of the WHAT to cook.,Learn the ABC of cooking to international standards. The basic skills covered in the course are: chopping and blanching vegetables, butchering a whole chicken, making basic stocks, making mother sauces, correctly cooking eggs, rice and pasta.']"
HOW TO PAINT FROM BEGINNER TO MASTER,"['Lifestyle,Arts & Crafts,Oil Painting']","['A process and structure to creating a painting from start to finish, that’s easy for anyone to manage!,You’ll know the best supplies mediums and cleaners to buy and how to use them.,How to mix a 10 value greyscale, shading and how to make a gradient in every value with paint.,An easy system to drawing anything you want!,How painting in layers works starting with an underpainting, and you’ll learn how to bring an oil painting to completion. (Including varnishing),You’ll learn how to use a new kind of color chart that will make mixing any color imaginable easy, using the least amount of tubes of paint possible, to make sure you never get muddy colors again!,You’ll Learn the difference between chroma, color and values and how to control them.,The best way to light and photograph, portrait (or any other subject) for a painting.,I’ll teach you the perfect combination of colors to getting a beautiful, glowing flesh tone.,By the end of the class you’ll paint a portrait in full color.']"
Simple Solutions for Common Dog Behavior & Training Problems,"['Lifestyle,Pet Care & Training,Dog Training']","['Resolve common dog training and behavior problems, including: housesoiling, destructive chewing, excessive barking, digging, home-alone problems (and separation anxiety), leash reactivity to other dogs, hyperactivity, jumping-up, not coming when called, pulling on leash, plus lack of attention and compliance.,Prevent and resolve the problems that are likely to arrive as puppies grow into adolescent and adult dogs.,Rehabilitate adult dogs with temperament problems, including: fearfulness, fighting and biting.,Use Lure Reward Training, All or None Reward Training and Classical Conditioning techniques.']"
How to Paint From Beginner to Master -Acrylic Painting-,"['Lifestyle,Arts & Crafts,Painting']","[""Learn about cleaners and brush techniques-including what each brush is designed to do, how to hold them correctly, positioning and motion,Lesson 1 is designed to familiarize you with the terminologies I’ll be using throughout the rest of the course and get you acquainted with the 5 value greyscale,This course starts at the ground and builds every student up from there, to make sure you have a solid foundation to grow from.,You’ll learn the science behind different materials like acrylic mediums, what they do and how to use them correctly to make your colors more vibrant!,These exercises are also designed to begin teaching you the core fundamentals of acrylic painting. developed over years of teaching,You’ll do your first painting using the new techniques, based on a simple image that I'll supply you.,You’ll learn an approach to doing a drawing specifically for a painting, an easy system to get your drawing right every time,You’ll learn how to do an underpainting/how to paint in layers to achieve realism As well as shading and blending techniques that will give you better gradients,You’ll paint a still life of an old chrome kettle from a hi res photograph I’ll supply you.,This lesson is designed to teach you how to handle textures, like metal, scratches, bright highlights and reflective surfaces, as well as atmosphere,You’ll learn visualization and simplification techniques that I’ve developed to make painting easy for anyone.,Next, I'll teach you to use color in a painting and begin learning basic color theory concepts and compositions.,I’ll show you how to use a new kind of color mixing technique, that will make mixing any color imaginable easy- and make sure you never get muddy colors again!,You’ll learn the difference between chroma, color and values and how to control them, as well as how to manage a combination of colors on one palette.,Next, you’ll paint a still life of a grapefruit, based on an image I'll supply you. In this lesson, you’ll learn how to compose complex color schemes in your pa,You'll learn how to compartmentalize images to simplify them and make painting anything easier!,I'll teach you how to manage a controlled color palette with over 5 color scales on it and insure that your paintings are always bright and vibrant!,Next, you’ll paint a portrait. You’ll learn a method to mixing a perfect skin tone, every time and the rules to portrait painting.,You’ll get an in-depth lesson on painting detail and how to easily add incredible detail to a painting without needing extreme patients.,I'll show you tricks to painting eyes and hair.,I'll explain techniques to draw a viewers attention to desired focal points in your paintings.,You’ll learn how to varnish a painting and give it a beautiful, glossy, finished look.,Show less""]"
The Basics of Household Wiring. The Electrical System A to Z,"['Lifestyle,Home Improvement & Gardening,Electrical Wiring']","['Understand how electricity works, how it is generated, transmitted to, and distributed throughout your home.,Wire a receptacle (regular, switched, GFCI), a single-pole switch (3 and 4-way), a light fixture, and more!,Have the knowledge and skills to safely and competently complete most home electrical projects and repairs.']"
Drawing Masterclass: Draw Better w/our Drawing Course,"['Lifestyle,Arts & Crafts,Drawing']","[""Learn Drawing, Art, Sketching, Illustration, Character Design, Digital Drawing, Pencil Drawing, Figure,Draw any kind of art from your imagination,Understand drawing fundamentals and concepts like a pro,Draw shapes and add perspective to your artwork,Draw using shading and light to improve your art,Draw gestures that look natural and realistic,Complete your drawings with color,Know how to use composition in your drawing,Become confident at drawing, even if you're a complete beginner""]"
Emotional Intelligence (EQ) Practitioner Cert (ACCREDITED),"['Lifestyle,Other Lifestyle,Emotional Intelligence']","['Discover how to use Emotional Intelligence to help yourself and others,Learn how to improve your own Emotional Intelligence,Unlock the powerful tools & strategies of emotional intelligence to help yourself & others through emotional turmoil,Emotional Intelligence can be used to help with anxiety, depression, stress, overwhelm and many more emotional issues,PLUS: Get a fully downloadable audio version of the course so you can learn on the go']"
Chakra Healing Certificate Course - Effective Energy Healing,"['Lifestyle,Esoteric Practices,Chakra']","['Obtain an accredited Chakra Energy Healer Certificate,Understand the basics of the 7 personal Chakras,Be able to identify where Chakra blockages are in the body,Know how to quickly focus and unblock Chakras,Use my Chakra micro-meditations for fast healing,Understand what issues manifest from blocked Chakras,Learn the physical and emotional connection of your Chakras,Utilise my ""All Chakras"" meditation for ongoing \'maintenance\' of your mind, body and soul,Be able to intertwine these techniques into any other healing modality you may already do (eg. Reiki, massage, etc),Be able to help guide others in the same process - fast!']"
Anime Drawing for Beginners,"['Lifestyle,Arts & Crafts,Anime']","['Draw full body anime characters with basic poses,Use DesignDoll software for creating models with any pose,Draw chibis (miniature characters)']"
Paint Realistic Watercolor and Botanicals - STUDIO BASICS,"['Lifestyle,Arts & Crafts,Watercolor Painting']","[""Know how to GET STARTED ON THE RIGHT FOOT!,Understand sound studio, materials and technique basics needed to create realistic watercolour and botanical paintings,Learn about materials so you understand what to purchase... don't waste money on the wrong things!,Learn how to improve your environment, approaches and results of your own work,Build practical strategy towards successful outcomes,Feel confidence in yourself by getting the right information,Prepare yourself for my subsequent 'hands on, step by step' tutorials""]"
Crystal Healing Certificate Course - Energy Healing Stones,"['Lifestyle,Esoteric Practices,Crystal Energy']","['Obtain an accredited Crystal Energy Healer Certificate,Learn why and how crystals assist with healing,Understand which crystals to use to bolster healing,How to create effective crystal grids for a variety of purposes,Learn the basics of Chakras and their associated crystals,Choose the right crystals and know where to place them,Understand why and how to cleanse healing crystals,Learn the wide range of crystals connected to each Chakra and their respective healing qualities/affects']"
Growl Class - A Workshop Demo for Reactive Dogs,"['Lifestyle,Pet Care & Training,Dog Training']","['Objectively assess the severity of a dog’s fighting based on a Fight:Bite ratio that examines actual damage done,Provide prognoses and accurate estimates of the time required to rehabilitate anti-social dogs,Administer a stress test to determine a dog’s level of anxiety and the source of that anxiety,Empower tug toys and kibble as very high value secondary reinforcers,Give representational feedback to a dog that is in a social setting,Use All-or-None Reward Training to decrease and eliminate reactivity and regain calmness, focus and control,Set up controlled classical conditioning scenarios,Block antisocial stimuli and signaling through the use of Come, Sit and Watch commands,Use Differential Classical Conditioning (DCC) to enable simultaneous Operant and Classical Conditioning without unintentionally reinforcing reactivity,Use the Jolly Routine for Classical Conditioning,Maintain a dog’s pro-social temperament throughout their entire life,Show less']"
The Art & Science of Drawing / FORM & SPACE,"['Lifestyle,Arts & Crafts,Drawing']","['How draw the foundational volumes, spheres, cylinders and cubes, in any orientation in space.,How to break any form down into basic volumes and in doing so, understand how to draw them 3-Dimensionally.,How to draw objects properly in perspective.,How to produce drawings that give the illusion of 3-Dimensional objects occupying deep space.']"
Hypnotherapy and Hypnosis Certification Course,"['Lifestyle,Esoteric Practices,Hypnotherapy']","['The principles concerning the theory, ethics, and practice of hypnotherapy.,How to build collaborative relationships around clearly defined objectives.,Gain a greater sense of social awareness, and improve your social skills.,Use language patterns and hypnotic techniques to communicate efficiently.,A broad spectrum of relevant psychological and philosophical perspectives.,Understand the relationship between thoughts, emotions, and behaviours.,How to help individuals find emotional well-being and overcome adversity.,An analysis of worldviews as a basis for understanding human behaviour.,A broad range of easy-to-follow hypnotherapy methods and processes.,And much, much more.']"
The Art & Science of Drawing / DYNAMIC MARK MAKING,"['Lifestyle,Arts & Crafts,Drawing']","['How to use the pencil to create a wide range of expressive and engaging lines marks.,How to infuse your line work with emotion that truly connect with a viewer.,How to draw objects in a way that give the viewer a sense of what it feels like to the touch.,How to make objects appear to recede in space using atmospheric perspective.']"
QUANTUM REIKI: Level 1 - Healer Certification by Antojai®,"['Lifestyle,Esoteric Practices,Reiki']","['Apply high energy Reiki at a quantum level,Expand all their existing healing skills,Heal the core of your trauma, and that of others,Be able to learn any Reiki Style after this course INSTANTLY,Heal pets, plants, and the environment,Become a CERTIFIED QUANTUM REIKI HEALER with the Antojai Organization.']"
Certificate in Ericksonian Hypnotherapy (Hypnosis Training),"['Lifestyle,Esoteric Practices,Hypnotherapy']","['How to do client-responsive hypnotherapy,How to utilise your observations successfully,How to do hypnotherapy without needing hypnotherapy scripts,How to do hypnotherapy without needing structured inductions,How to utilise almost any response clients give you to help them achieve their goals in hypnosis and therapy,How to use Ericksonian, conversational, indirect hypnosis language patterns,How to structure hypnotherapy sessions']"
Animal Communication For beginners,"['Lifestyle,Esoteric Practices,Animal Communication (human-animal)']","['This is NOT a course about animal behaviour or body language.,Communicate with any animal via a photo. (some people receive single words instantly but most people need to practice first!),Have knowledge of the techniques to quiet the mind to make connecting with animals easier.,Have a good understanding of communicating with other people’s animals ethically and respectfully.,Send and receive information telepathically.']"
Remove Blocks to Psychic Power with Past Life Therapy,"['Lifestyle,Esoteric Practices,Psychic']","['Unlock Your Psychic Powers using Past Life Regression,Release Blockages from Past-lifetimes that Prevent You Earning Income as a Healer or Psychic,Discover your Unique Soul Journey as an Intuitive and a Healer and How You can Reclaim these Ancient Gifts,Use Past life therapy to Discover Who you were and Heal Old Trauma from Past Lifetimes,Balance Your Karmic Debt,Get a Sal Jade Certificate from the Psychic Healing Academy upon completion of course']"
Foundations for Mastering Watercolor Painting / FIRST STEPS,"['Lifestyle,Arts & Crafts,Watercolor Painting']","[""Learn watercolor techniques quicker and easier,Understand what watercolor paint is and how it is unique,Discern how a paint will perform based on its pigment property,Gain insight into water's important role in the water media painting process,Appreciate the importance of surface texture and structure when you paint,Understand the differences between brush materials,Problem-solve with success when something goes wrong in the painting process,Feel freer in developing your own artistic voice""]"
The Beginner's Guide to Digital Art with Procreate on iPad!,"['Lifestyle,Arts & Crafts,Procreate Digital Illustration App']","[""Students will understand how to use Procreate's powerful art tools.,Students will learn a workflow, step-by-step, that works for many types of art - comics, manga, cartoons, & more!,Students will be able to use Procreate's built in recording features to create fun time-lapse drawings and paintings - great for sharing on social media!""]"
