Course Title,Labels,Details
Workplace Communication: You Can Speak Up at Meetings!,"['Personal Development,Personal Brand Building,Meetings']","['Speak up at meetings,Project confidence when speaking in front of others,Gather your thoughts quickly in order to offer impromptu comments,Rehearse comments for meetings']"
Goal Setting Mastery Course,"['Personal Development,Motivation,Goal Setting']","['Get clear direction on what you want out of life,Setting SMARTER goals,Have a specified action plan to achieve your goals incorporated into your daily routine']"
SELF-CONFIDENCE: 40-minute Confidence & Self Esteem Guide,"['Personal Development,Self Esteem & Confidence,Self-Esteem']","['TOP-RATED Confidence Course (18,000+ 5/5 reviews),Last Content Update October 2022,Comprehensive Downloadable PDF Summary of Each Lecture Attached!,Increase Your Level of Confidence and Self Esteem in Business Life,Destroy the Fear of Rejection,Learn Powerful Strategies for Building Self Esteem,Learn How and Why You Should Embrace Vulnerability,Develop a Powerful and Confident Body Language,Adopt a powerful counter-intuitive strategy for becoming a confident, yet authentic person,Perform one of the most powerful exercises for boosting your confidence and self-esteem,How to handle daily social interactions?,How to destroy negative self-talk?,Studio Quality videos from an Award-Winning Instructor,Get Your Official Certificate of Completion to Boost Your Resume,Show less']"
"Growth Mindset: The Key to Confidence, Impact & Fulfillment","['Personal Development,Personal Transformation,Growth Mindset']","['Discover how growth mindset can propel your confidence and career, while making you more innovative and willing to take risks,Identify when you’re showing up with a fixed mindset, and how this might be holding you back at work and in life,Consider 6 roadblocks that may be keeping you from having a growth mindset, along with proven strategies to overcome them,Take the One Yes challenge to step out of your comfort zone, adopt stretch goals, and reflect on what you learned,Bring a growth mindset to your organization, and experience how this can positively impact culture, innovation, engagement, and retention,Certification Available']"
Successful Negotiation: Master Your Negotiating Skills,"['Personal Development,Influence,Negotiation']","[""Negotiate effectively and fairly to make 1000s more than they would otherwise,Be confident in starting and finishing a negotiation,Use smart tactics to increase their bargaining power,Develop mental and emotional strength to keep pushing until they get a great price,Use negotiating skills in both personal and professional situations,Bargain over everything from huge corporate deals, to flea market haggles,Combat common techniques to ensure their profit isn't diminished without them noticing""]"
Active Listening Masterclass,"['Personal Development,Leadership,Listening Skills']","['Transform your leadership.,Increase workplace efficiency.,Radically boost employee retention.,Improve team dynamics.,Understand the negative impact of multitasking while listening.,Learn why we are physically drained after hours of active listening.,Learn the pitfalls that interfere with active listening, and how to avoid them.,Learn how to instill confidence in others while they are speaking, and why.,Improve your promotional advancement potential.,Learn how improvements in conversation skills can impact your organization.']"
Working Remotely: How To Succeed In The New Workplace,"['Personal Development,Personal Productivity,Working Remotely']","['Communicate and collaborate more effectively with your colleagues when working remotely,Beat procrastination and motivate yourself to achieve more each day,Establish effective daily routines when working remotely,Understand what workspaces are best suited to your personal work style']"
Professional Life Coach Certification & Guide (Accredited),"['Personal Development,Personal Transformation,Life Coach Training']","[""Feel confident in your ability to get your clients real results.,Feel credible and prepared.,Structure your coaching business, including packages, sessions and your ideal coaching niche.,Utilize proven life coaching best practices including step-by-step processes and powerful tools.,Polish your communication techniques so that you can listen to and question your clients to success.,Learn neuro linguistic programming (NLP) techniques.,Know how to set expectations, maintain boundaries, and overcome your own fears.,Use professional done-for-you forms and templates that take the guesswork out of coaching.,Work with your clients to set achievable goals and action plans and hold them accountable to follow through.,Develop your emotional intelligence and a growth mindset.,Help your clients develop awareness and mindfulness.,Help your clients empower their thinking and self-talk.,Help your clients take back their power over negative emotions.,Help your clients eliminate limiting beliefs and stop holding themselves back.,Help your clients make hard decisions and take actions they've been putting off.,Help your clients overcome fear of change, failure and risk.,Help your clients live a life of passion and purpose.,Create a thriving life coaching business.,Discover your ideal life coaching niche and design your life coaching package.,Learn secrets to attracting clients and marketing your life coaching business.,Show less""]"
Learn to Fully Charge Your Work & Life by Tom Rath,"['Personal Development,Happiness,Personal Development']","['Learn how to lead a profoundly meaningful life by changing your daily routines so that you can focus on positivity, harness more meaningful relationships and continue to grow and evolve.,Infuse positivity into your daily interactions.,Energize your personal and professional life by maximizing your talents.,Find your drive and your internal motivation, so you can be your optimal self.,Learn the latest science on food and fitness and get your body on board with your new mindset.']"
The Stress Detox: A Stress Management Framework for Leaders,"['Personal Development,Stress Management,Stress Management']","['Define what stress actually is, the crucial role it plays in our life, and how to optimize stress and avoid burnout to support wellbeing,Master your mind with a simple meditation to develop your self-awareness,Discover where stress is hidden in your life and what your unique stressors are,Diagnose the symptoms of stress and explore strategies related to physical, emotional, and mental wellbeing,Discover the role managers play to avoid burnout in the workplace and create a culture of impact,Make your personal action plan for how you will take care of yourself before, during, and after stress occurs,Understand the business case for stress management in the workplace']"
Management Skills Training for New & Experienced Managers,"['Personal Development,Leadership,Manager Training']","['Motivate your employees and create high engagement and empowerment.,Provide specific job training for your team members..,Lead teams to become high performing teams engaged in continuous improvement.,Understand and develop ""lean management"" problem-solving and process improvement.,Resolve conflicts with others and among team members.']"
Business Communication Skills: Business Writing & Grammar,"['Personal Development,Career Development,Business Communication']","['Business grammar and business English,Make your written communication more professional,Writing a business letter,Conflict resolution skills,Professional email communication skills,Meeting communication skills,Report writing skills,Presentation skills and creating storytelling presentations,Business proposal writing,Learn proofreading skills to catch errors quickly,Effective ways to learn English vocabulary,Advanced English writing and sophisticated word choice,Show less']"
Work From Home: Where to Start and How to Succeed,"['Personal Development,Personal Productivity,Personal Productivity']","['Create effective work schedules,Set up your home office space,Increase productivity,Set healthy work/home boundaries,Self-care while working remotely']"
"Emotional Intelligence: Master Anxiety, Fear, & Emotions","['Personal Development,Stress Management,Emotional Intelligence']","['Feel good (or at least better) no matter what is going on around you,Stop your emotions from spiraling out of control,Feel resilient and capable of handling life stressors,Stop racing thoughts and calm your anxiety,Develop mindfulness by focusing on the present moment,Feel confident and in control of your emotional state and your life']"
Modern Productivity — Superhuman Focus In A Distracted World,"['Personal Development,Personal Productivity,Personal Productivity']","[""Develop a productive mindset and stay motivated,Develop strong self-discipline and use the power of habit to your advantage,Understand the difference between busy work and productive work,Minimize the many distractions of modern life,Understand the truth about multitasking,Break your compulsive social media habit,Take charge of your time and stop living on other people's schedules,Identify your peak hours for productivity and become an early riser (if you want to),Set long term goals and break those goals down into actionable tasks,Conduct annual, quarterly, and weekly reviews of your life,Use a task manager to plan and organize your work,Develop a strong work ethic,Stop procrastination in its tracks using a very simple strategy,Increase your efficiency with deadlines,Avoid burnout by changing the way you work,Understand how music affects your productivity,Show less""]"
Assertiveness Basics: The 50-minute Communication Guide,"['Personal Development,Influence,Assertiveness']","['Massively enhance your assertiveness,Boost your confidence & self-esteem,Manage stress,Communicate effectively,Control your emotions,Say ""No"" in the right way,Manage your verbal and non-verbal message']"
Practical Time Management - Personal Productivity Tools,"['Personal Development,Personal Productivity,Time Management']","['What are the limitations of our brains and how to cooperate with them, rather than fight with them.,Most useful tools, techniques, and habits used for task list management and calendar management.,Practical solutions for managing focus and avoiding distractions.,An essence of 40 books, like “Getting Things Done”, “The Power of Habit”, and “Essentialism”, over 10 years of practice in big companies and feedback from over 2.000 people.']"
Neuroplasticity: How To Rewire Your Brain,"['Personal Development,Motivation,Neuroplasticity']","['Understand the concept of Neuroplasticity and how to use it.,Practice a full range of exercises in order to stimulate new neuronal connections,Create new habits and change existing ones,overcome procrastination,Alter memories in order to neutralize their emotional charge']"
Tactics for Tackling Difficult People in Life and Work,"['Personal Development,Personal Transformation,Communication Skills']","[""Identify the most common kinds of ‘difficult’ behaviour,Recognise and use the four key skills of self-empowerment when faced with challenging behaviour,Use their listening and other skills to create an effective communications 'stance',Pre-empt difficult situations and stop them from escalating,Be able to 'forward plan' and employ strategies to counter difficult behaviour,Avoid the common pitfalls and stay out of self-defeating cycles of response,Understand how to separate the 'problem' from the 'person'.,Understand how to separate thoughts from feelings to help gain mastery,Use key strategies like ASSUME and SALVAGE to take control of difficult interactions,Plan for more successful outcomes with relationships at work, home and socially.""]"
How to be Successful: Create A Growth Mindset For Success,"['Personal Development,Personal Transformation,Growth Mindset']","['Apply techniques, strategies and new perspectives to their lives, to become the most successful version of themselves']"
Anxiety and Stress - Best Practices for Reducing Stress,"['Personal Development,Happiness,Anxiety Management']","['Practical tools and techniques for reducing anxiety and increasing empowerment and happiness,Become calm and confident in work and at home,Take back control of your mood and your time,Stop letting others intimidate you or take over your life,Discover how your weaknesses could also be your natural personality strengths!,Find it easy to say no, delegate or be assertive,Learn how to speak kindly to yourself with mantras, self talk, and meditation,Unlock methods to cut back on working hours and rid yourself of negative people,Become organised and reliable in every area of life,Become known as someone organised, confident and happy']"
Radiate Confidence: How to Create a 1000 Watt Presence,"['Personal Development,Influence,Confidence']","['Create a dynamic, expressive persona that radiates authenticity.,Connect to the power of positive thoughts to build confidence.,Tame the voices of doubt that have blocked you in the past.,Engage in conversation with ease and agility.,Dynamically pitch yourself and your business.,Learn communication skills to excel in the business world,Present your message with passion and purpose.,Inspire audiences on-camera.,Build a tribe of fans.']"
Business Etiquette 101: Social Skills for Success,"['Personal Development,Career Development,Business Etiquette']","['How to be more professional in the workplace.,How to build relationships, and get clients and coworkers to know, like and trust you.,How to conquer networking events with strategy, skill and less anxiety (because you know what to do).,How to interact with business people in an engaging and polished manner.,How to create an executive outfit (men and women) for a polished, professional brand.,How to dress for your industry (traditional, creative, or casual).,How to start, continue and end a conversation.,How to sound intelligent and competent in business conversations.,How to manage your online presence and LinkedIn profile.,Western business etiquette.,Skills you won’t learn in formal education or business school.,Show less']"
"Boost Your Productivity: Adapt, Improve, Do!","['Personal Development,Personal Productivity,Personal Productivity']","['Boost their productivity by increased brain control,Improved willpower and motivation,Better habits and more defined goals,Faster decision making and bigger comfort zone,Sustained productivity through better self mastery']"
The Psychology of Happiness,"['Personal Development,Happiness,Positive Psychology']","['Use simple tricks to lead a happier life,Understand where real happiness comes from,Dispel common myths about what it means to lead a fulfilled life,Connect more deeply with other people']"
Boost Your Career Success by Developing Your Soft Skills,"['Personal Development,Career Development,Personal Development']","['Understand the areas of personal development that make people more successful,Decide the areas of personal development that YOU need to focus on to be more successful in your career,Create a personal development plan you can implement easily and at low cost to you,Action some personal development tips to improve your success,Boost your success in your job, career or life,Be more confident']"
"Mindfulness Practitioner Diploma (Level I, II, III & Master)","['Personal Development,Religion & Spirituality,Mindfulness']","['The characteristics of mindfulness, how it works, and how to practice it.,The benefits of mindfulness on maturing self-awareness and discipline.,How to develop a whole, fully-present and influential personal presence.,Why Mindfulness is a powerful discipline for positively motivating people.,The benefits of Mindfulness, including growing resilience and improving focus.,How applying Mindfulness can improve mental health and general wellness.,How to connect with people in an authentic, genuine and congruent way.,How to apply Mindfulness and benefit from a constructive outlook on life.,The best ways to share what you learn in this course with other people.,And much, much more.']"
Personal Branding: Strengthen Your Professional Reputation,"['Personal Development,Personal Brand Building,Personal Branding']","['Learn how personal branding can accelerate your career,Define your personal brand using proven branding principles,Summarize your personal & professional qualities in a clear, convincing way,Use social media to authentically reinforce your personal brand,Communicate your unique strengths on your resume & cover letter']"
How to Develop Emotional Resilience to Manage Stress,"['Personal Development,Stress Management,Stress Management']","['Identify the ways you manage stress and build your resilience with strategies to develop resilience in yourself and others.,Examine your experience of emotions to improve well-being and organizational effectiveness.,Explore why you feel the way that you do in difficult situations and how your emotions impact upon your performance.,Determine how your emotional intelligence relates to your resilience.']"
"Master your Decision-Making, and Critical Thinking Skills !","['Personal Development,Leadership,Decision Making']","['Improve the Quality of all your big decisions, thereby improving their ROI (Return on Investment) significantly !,Know about your thinking processes, and how they work in your thinking and decision-making,Understand Cognitive Biases and Logical Fallacies, and how they affect your judgements and decisions,Learn how to minimise the effects of these Biases and Fallacies, with De-Biasing techniques and strategies !']"
Master your brain: Neuroscience for personal development,"['Personal Development,Personal Transformation,Neuroscience']","[""A groundbreaking model of human behavior that will help you gain well-being, improve your relationships, and ultimately take control of your own life,Understand the mechanism of stress: Discover what part of our brain is responsible for triggering stress and how to switch from one part to another.,Improve your self-Confidence: Learn how we position ourselves towards others. Identify where you stand. Learn how to recognize manipulative behavior,Connect with your motivations: Learn the distinction between lasting and temporary motivations. Find out an easy way to figure out what truly motivates you.,Manage your obsessions: We all have them, and it's no big deal. However sometimes they take over.,Unlock your full potential: self-control, adaptation, willpower, focus, but also creativity and spirituality.""]"
The Science of Leadership,"['Personal Development,Leadership,Leadership']","['Discover a groundbreaking model of Leadership that will help me manage myself and others,Recognize how our genetic programming influences our behavior and how to deal with that in ourselves and in others,Connect with my team: Learn the distinction between lasting and temporary motivations. Find out an easy way to figure out what truly motivates them.,Effectively engage problematic behavior born out of cognitive biases and subconscious belief systems,Improve hiring protocols by recognizing potential pitfalls,Improve coaching skills through powerful communication tools,Learn how to fire up engagement in my team, buy using two secret ingredients,Learn how to deal with issues such as workaholism, bullying, sexism, racism, ...,Learn how to switch to my prefrontal brain and gain self-control, adaptation, willpower, focus, but also creativity and problem solving abilities .,Generate trust, create a solid team, and boost performance,Improve change processes, meetings and brainstorming sessions,Boost loyalty and stop my people to go to the competition,And much more ...,Show less']"
21 Day Crash Course in Emotional Intelligence,"['Personal Development,Personal Transformation,Emotional Intelligence']","[""Define emotional intelligence and explain why it is so important for success in all sorts of relationships - whether personal or professional.,Identify the four aspects that compose emotional intelligence.,Increase their level of self-awareness by understanding their individual personalities and the impact they have on others.,Manage their emotions to enhance their relationships with some practical strategies.,Better understand others' personalities and increase their ability to empathize with those around them.,Build better relationships with stronger communication and an enhanced ability to manage conflict.""]"
Communicating with Empathy (CPE credit),"['Personal Development,Leadership,Empathy']","['Understanding what it is and how it works,The different types of empathy and when to use them,Empathetic listening,How to make some space and develop self awareness']"
Smart Tips: Time Management & Productivity,"['Personal Development,Personal Productivity,Personal Productivity']","['Become organised, focused and successful across your work and home life,Remove all traces of stress, overwhelm, and disorganisation from your life,Achieve goals you never thought were possible... and more!,Use time management, negotiation, and assertiveness techniques in business and personal situations,Get promoted in work, and organised in life,Take back control of your inbox, and unproductive meetings,Stop procrastinating once and for all,Master to do lists, goal setting, and daily organisation']"
Heartfulness Meditation- Evolution of Consciousness w/ Daaji,"['Personal Development,Personal Transformation,Consciousness']","['FOUR key practices: Relaxation, Meditation, Cleaning and Prayer,GUIDED learn to meditate sessions with in depth tips and techniques,RHYTHM and daily routine that is aligned with the biological clock,BREATHING Techniques for anger and anxiety,RELAXATION to help with physical posture and comfort,MEDITATION aided by yogic transmission for focus and effectiveness,CLEANING to detox the system and create purity and simplicity,PRAYER for introspection and continuous improvement,SELF-OBSERVATION to check the improvements in the behavior and overall approach']"
"Presenting with Confidence: Prepare, Practice and Perform!","['Personal Development,Career Development,Presentation Skills']","['How to present with confidence and ease,How to overcome performance nervousness,How to build your content and create memorable slides,How to tell engaging stories that your audience will remember,How to deliver your content without reading a boring script,How to connect with your audience and win them over,How to use effective body language and build a dynamic voice,How to dress for success and feel like a star,How to make the most out of any speaking engagement']"
How to Build Confidence in Your Abilities,"['Personal Development,Motivation,Confidence']","['develop confidence in your abilities,overcome your limiting beliefs,get started on your most important goals,develop a success-friendly mindset,overcome your fear of failure']"
CONFIDENCE and SELF ESTEEM: Develop Confident Body Language,"['Personal Development,Influence,Nonverbal Communication']","['Learn how to engineer a confident body language,Body Language in the times of Covid19,Learn how to feel more comfortable in your own skin,Everything you need to know about confident EYE-CONTACT,Learn how to appear more positive and trustworthy,Learn the body language of leaders,Have the ability to interpret the body language of other people,Discover how to get yourself into the ""Winner\'s State"",Explore the most powerful body language techniques for feeling & looking more confident,How To Handle a Group of People like a True Leader,Understand different types of handshakes,How To Use Mirroring Principle to Instantly Connect with People,""Out of the box"" Trick for Increasing Your Level of Energy,How to stay positive in the times of Covid19,Get Your Official Certificate of Completion to Boost Your Resume,Show less']"
[2023] Career Hacking: World's Bestselling Job Search Course,"['Personal Development,Career Development,Interviewing Skills']","['Learn how to use innovative career hacking techniques from the founder of the Career Hacking™ discipline,Present yourself powerfully on LinkedIn® and discover other online personal networking techniques,Prepare a keyword-rich, targeted resume that gets outstanding results in your job search,Interview competently and persuasively in your job search while still being yourself,Create career opportunities during your job search using traditional and non-traditional methods,Build relevant professional and personal networks as a foundation for future advancement,Set the stage for a rewarding career filled with personal success and contentment,Make a career change by framing your past experiences for future roles']"
Neuroscience for parents: How to raise amazing kids,"['Personal Development,Parenting & Relationships,Parenting']","[""Understand why my children act the way they do, based on their active brain structure and development of the brain,Understand the impact of my parenting style,Adapt my communication and reactions based on the children's active brain structure,React appropriately when my child is under stress,Grow my children's self esteem,Help my children develop a stable world view,Help my child develop a more efficient study method,Foster the natural talents of my children,Remain calm when it seems we're in the middle of a battlefield""]"
Life Purpose Life Coach Certification (Accredited),"['Personal Development,Personal Transformation,Life Coach Training']","['Learn the techniques and tools that will help them help others find their purpose.,Understand and learn the psychology of what creates long term change in people,Utilize a proven, step-by-step system with all the materials needed to help people,Be able to teach what you learn with confidence,Increase your credibility,Add niche coaching, focused on life purpose, to your coaching business,Offer new services to current clients,Provide workbook materials to your clients,Add additional sources of revenue to your bottom line']"
10X SUPERHUMAN Learning: Speed Reading & Memory Booster,"['Personal Development,Memory & Study Skills,Speed Reading']","['#1 ACCELERATED Learning Blueprint for High Achievers on Udemy!,Know when to scan, when to slow down and when to read fast up to 800 words per minute to get the essence on the text.,Get up to 4 hours of deeply focused, strategic work without stress or procrastination.,Keep up with current events and topics that interest you and support your voracious curiosity and creative work.,How to find more time to learn in a world of information overload and start implementing what you study faster so you can BOOST your profit & income!,How to QUICKLY find one hour per day for reading and learning even if you are super busy and overwhelmed. Bill Gates, Warren Buffett, Elon Musk, and Oprah Winfrey find one hour to learn EVERYDAY. So can you!,How to 10x your results from each hour of learning. Get 3 SECRET techniques that will boost your reading speed to about 1,000 words per minute!,How to stay HYPER focused and motivated on what’s most important for you to learn without procrastinating.,Instantly increase your reading speed by 50% just after the FIRST Hour of this course.,Become faster, sharper, unstoppable in your daily life and career,Boost focus and reduce subvocalization and regression,Reduce stress and frustration,Learn anything at least 2-3 times quicker,Achieve higher class exam scores,Qualify for your dream job,Improve your comprehension by activating certain areas of your brain,Reprogram your mind to stop forgetting,Remember all the names and relevant facts,Unleash quick recall in any situation,How to CUT your study time by half and still enjoy the studying for real.,What are the common myths you have about reading and speed reading and how to overcome all of them.·,What is the right mindset required for effective reading.,How to get the main ideas from any book faster.,How to read textbooks or technical books in an effective way.,How to develop laser-like focus while reading.,How to read faster on any computer screen and e-readers.,What are the best ways of taking effective notes.,What is Mind-mapping and what are the rules for making a perfect mind-map.,How to summarize entire books or chapter in one page.,How to revise from the notes you have prepared before an important exam.,What are the common misbeliefs you have relating to memory.,How your brain works and stores information and how to use it to your advantage.,What is the ideal mindset to have while memorizing.,What are 4 rules of memorization + special techniques to use.,How to Memorize any information and do it faster. How to remember entire books.,How to ace exams with confidence.,Show less']"
Pitch Yourself! Learn to Ignite Curiosity + Inspire Action.,"['Personal Development,Influence,Personal Networking']",Nill
2023 Complete Public Speaking Masterclass For Every Occasion,"['Personal Development,Influence,Public Speaking']","['Look comfortable, confident and relaxed in any speaking situation,Speak in a clear and understandable manner,Speak in a memorable way (this is the hardest for most people),Influence your Audience,Know exactly what to do when speaking to any size audience on any occasion in any format,Selling with Stories,Virtual Sales Presentations,Pitching Yourself,Remote Selling,Communicating to Drive Change,Purpose driven leader,How to Discuss a Raise or Promotion,Speak at Every Occasion,Show less']"
Communication Skills Machine: Master Persuasion & Influence,"['Personal Development,Influence,Communication Skills']","['Students will learn how to authentically make a great first impression and get anyone to like them within the first 5 seconds,The most effective method to pitch your product, service, or idea that will get almost anyone to say “Yes!”,The core foundations world class performers and companies use to develop their communication skills to become more persuasive in leadership roles,The best way to make people take an action by appealing to their emotions,How to defend themselves from anyone who tries to use manipulative persuasion tactics and how to use this to your advantage']"
Confidence Blueprint: Develop Confidence & a Growth Mindset,"['Personal Development,Self Esteem & Confidence,Growth Mindset']","['Stop holding yourself back by avoid the 4 traps of self-doubt,Stop setting goals and dreams that you never reach,Overcome paralysis and get started in 5 seconds flat,Take action even when you’re feeling resistance, doubt, or fear,Take your power back and stop letting other people decide what you can and can’t do and how you feel about yourself,Overcome fear of failure and feel truly confident that you can overcome or achieve ANYTHING,Feel brave and take more risks so you can GO FOR IT,Empowering yourself in any moment using positive self talk, body language, NLP and more!,Develop a growth mindset, which is the #1 core underlying belief that unlocks genuine confidence,Develop a belief that you truly can do and become ANYTHING you want,Finally feel empowered to REACH YOUR FULL POTENTIAL,Show less']"
Difficult Conversations: Master Difficult Conversations,"['Personal Development,Other Personal Development,Difficult Conversations']","['Have the courage, the tools and insight to have difficult conversations']"
Conscious Business: Building Positive Relationships,"['Personal Development,Leadership,Relationship Building']","['Learn how to turn any relationship into a positive experience,Learn how to effectively deal with conflicts,Learn how to communicate with authenticity & power in any situation,Learn the 2 fundamental principles for building empowered & respectful relationships at work & at home']"
How to Build Self-Discipline,"['Personal Development,Personal Transformation,Self-Discipline']","['how to break your bad habits and form new, positive ones,how to escape the status quo bias that makes people avoid making changes in their lives,how to train your self-discipline to become a true master of your willpower,how to use strategic indulging to improve your diet adherence']"
Emotional Intelligence: How To Influence People & Businesses,"['Personal Development,Personal Transformation,Emotional Intelligence']","['Have a clear understanding of what emotional intelligence (EQ) is and what it’s not.,Have a FRAMEWORK for understanding Emotional Intelligence and how to use it.,You will DEVELOP the 5 core principles of Emotional Intelligence,To ASSESS your Emotional Intelligence capabilities,Stimulate REFLECTION on the benefits of emotional intelligence,Have clear GUIDELINES on how to use Emotional Intelligence,You will have a plan to DEVELOP and apply Emotional Intelligence on yourself and business']"
Conscious Business: Building Collaborative & Engaged Teams,"['Personal Development,Leadership,Management Skills']","['Learn how to create a culture of accountability & responsibility in your team,Learn the 5 steps to create collaboration & engagement in your team,Understand the fundamental principles for building empowered & respectful relationships at work & at home,Learn the 4 steps that will make any relationship work']"
Think Like a Leader with Brian Tracy,"['Personal Development,Leadership,Leadership']","['Master actionable strategies for reprogramming your mindset and achieving leadership success,Create and track manageable business goals for yourself and your organization,Master Strategic Planning, Communication, Teamwork, Vision, and other core skills great leaders have,Establish better working relationships with colleagues, direct reports, and diverse groups of people,Build confidence towards becoming a lifelong transformational leader both in the workplace and in your life']"
"Sounds True's Freedom to Choose Something Different, Part 1","['Personal Development,Personal Transformation,Mindfulness']","['Recognize negative patterns of behavior and negative reactions to people and circumstances in daily life,Understand Buddhist lessons on the Three Difficult Practices in order to move away from negative patterns and establish positive reactions,Release suffering that is caused by being hooked to old habits, making room for joy and freedom']"
Leadership Principles: Transformational Leadership & Culture,"['Personal Development,Leadership,Leadership']","['The student will learn why principles are at the core of effective leadership.,The student will be offered nine principles that have proven to be central to all great leaders.,You will be asked to examine your own principles and commit to those principles.,You will be asked to consult with your team and associate managers on how principles can be put to work in your organization.']"
